entity_id,legal_name,License Number,entity_status,entity_start,entity_end,license_type,business_category,phone_number,zip_code
BA-1002066-2022,43-25 HUNTER STREET PARKING CORP.,2051385-DCA,Active,04/18/2017,03/31/2027,Premises,Garage & Parking Lot,+12127367171,11101
BA-1002610-2022,"BIO FIT ORTHOTICS, INC.",1364331-DCA,Active,07/28/2010,03/15/2027,Premises,Dealer In Products For The Disabled,+17183681855,11204
BA-1007652-2022,BEST VALANA CONSTRUCTION CORP.,2128242-DCWP,Active,05/06/2025,02/28/2027,Premises,Home Improvement Contractor,+13475391723,11370
BA-1010960-2022,"BNA QUICK STOP, INC.",1159942-DCA,Active,02/09/2004,12/31/2026,Premises,Tobacco Retail Dealer,+17187932363,11375
BA-1010967-2022,A.M.E. DELI GROCERY CORP.,2026570-2-DCA,Active,08/04/2015,12/31/2026,Premises,Tobacco Retail Dealer,+13473240848,10458
BA-1010972-2022,ALL STANDARD CONSTRUCTION CORP.,1397943-DCA,Active,07/08/2011,02/28/2027,Premises,Home Improvement Contractor,+17189610576,11365
BA-1010979-2022,ATLANTIC CONTRACTING LLC,0919433-DCA,Active,11/12/2002,02/28/2027,Premises,Home Improvement Contractor,+17186419988,11417
BA-1010982-2022,ALAN'S DELI GROCERY CORP.,2031561-2-DCA,Active,12/21/2015,12/31/2026,Premises,Tobacco Retail Dealer,+17185880585,10452
BA-1011647-2022,AMRINA PHARMACY INC,2119035-DCWP,Active,02/01/2024,03/15/2027,Premises,Dealer In Products For The Disabled,+15168086762,11203
BA-1016150-2022,C & C PARKING LLC,2110619-DCA,Active,01/12/2023,12/28/2025,Premises,Garage & Parking Lot,+13474314926,10459
BA-1016517-2022,ACB GARAGE LLC,2080791-DCA,Active,12/18/2018,10/28/2025,Premises,Garage & Parking Lot,+16465840409,10016
BA-1018702-2022,38 SIXTH AVENUE PARKING CORP,2072499-DCA,Active,06/04/2018,11/03/2025,Premises,Garage & Parking Lot,+12127367171,11217
BA-1020462-2022,"ARIES CONSTRUCTION CO, INC.",1330914-DCA,Active,08/28/2009,02/28/2027,Premises,Home Improvement Contractor,,11357
BA-1022267-2022,CHAMPION PARKING 76 ST LLC.,1351985-DCA,Active,12/31/1900,10/27/2025,Premises,Garage & Parking Lot,+12123085959,10023
