license_id,location_key
2080184-DCA,1180 AVENUE OF THE AMERICAS APT 8 NEW YORK NY 10036 (Manhattan)
2122058-DCWP,103 STUYVESANT AVE BROOKLYN NY 11221 (Brooklyn)
2121509-DCWP,8893 19TH AVE BROOKLYN NY 11214 (Brooklyn)
2083608-DCA,20 HUDSON YARDS APT 131B NEW YORK NY 10001 (Manhattan)
2111690-DCA,13358 41ST RD FLUSHING NY 11355 (Queens)
1278809-DCA,2214 64 STREET BROOKLYN NY 11204 (Brooklyn)
2100807-2-DCA,1724 CHURCH AVE BROOKLYN NY 11226 (Brooklyn)
2091379-2-DCA,5547 69TH ST MASPETH NY 11378 (Queens)
2122608-DCWP,602 W 185TH ST NEW YORK NY 10033 (Manhattan)
1001276-DCA,1001 DORCHESTER RD BROOKLYN NY 11218 (Brooklyn)
2124986-DCWP,2690 UNIVERSITY AVE BRONX NY 10468 (Bronx)
1129819-DCA,2540 27TH ST APT 2F ASTORIA NY 11102 (Queens)
2123792-DCWP,9509 ROOSEVELT AVE JACKSON HEIGHTS NY 11372 (Queens)
1314515-DCA,3533 83RD ST APT D6 JACKSON HTS NY 11372 (Queens)
2034431-DCA,4449 COLLEGE POINT BLVD FLUSHING NY 11355 (Queens)
2110590-DCA,226 E 32ND ST APT 2 NEW YORK NY 10016 (Manhattan)
1121988-DCA,4611 15TH AVE BROOKLYN NY 11219 (Brooklyn)
2128927-DCWP,382 MYRTLE AVE BROOKLYN NY 11205 (Brooklyn)
2125472-DCWP,5100 KINGS PLAZA APT 2213 BROOKLYN NY 11234 (Brooklyn)
2126057-DCWP,12 E 107TH ST NEW YORK NY 10029 (Manhattan)
2065534-DCA,92 5TH AVE BROOKLYN NY 11217 (Brooklyn)
2117044-DCWP,1078 ROGERS AVE APT 02 BROOKLYN NY 11226 (Brooklyn)
1460835-DCA,193 SAINT NICHOLAS AVE BROOKLYN NY 11237 (Brooklyn)
2085396-2-DCA,206 VARICK STREET NEW YORK NY 10014 (Manhattan)
2073088-1-DCA,1020 AVENUE OF THE AMERICAS NEW YORK NY 10018 (Manhattan)
2124289-DCWP,10401 LIBERTY AVE JAMAICA NY 11417 (Queens)
2123601-DCWP,10401 LIBERTY AVE JAMAICA NY 11417 (Queens)
2102263-DCA,3727 MAIN ST FLUSHING NY 11354 (Queens)
2117472-DCWP,5835 GRANGER ST APT 3H CORONA NY 11368 (Queens)
1343873-DCA,241 86TH ST BROOKLYN NY 11209 (Brooklyn)
2130855-DCWP,766 ALLERTON AVE BRONX NY 10467 (Bronx)
2055523-DCA,1776 BOSTON RD BRONX NY 10460 (Bronx)
2123843-DCWP,2525 AQUEDUCT AVE BRONX NY 10468 (Bronx)
2108649-DCA,425 CENTRAL PARK APT 1F NEW YORK NY 10025 (Manhattan)
2127591-DCWP,26 E BROADWAY NEW YORK NY 10002 (Manhattan)
2021527-2-DCA,1701 E 174TH ST BRONX NY 10472 (Bronx)
2081270-DCA,5555 NETHERLAND AVE APT 1C BRONX NY 10471 (Bronx)
2099444-DCA,436 9TH AVE NEW YORK NY 10001 (Manhattan)
2119042-DCWP,3761 HYLAN BLVD STATEN ISLAND NY 10308 (Staten Island)
