entity_id,registration_id,license_type,license_status,license_start,license_end
BA-1216876-2022,0002902-DCA,Premises,Active,04/18/2007,04/30/2026
BA-1322274-2022,0016371-DCA,Premises,Active,10/31/2003,07/31/2027
BA-1598130-2023,0225766-DCA,Premises,Active,07/29/2003,07/31/2027
BA-1301425-2022,0227765-DCA,Premises,Active,08/13/2003,07/31/2027
BA-1735070-2025,0230587-DCA,Premises,Active,05/31/1995,07/31/2027
BA-1162940-2022,0230939-DCA,Premises,Active,06/16/2003,07/31/2027
BA-1235307-2022,0255366-DCA,Premises,Active,06/19/2003,07/31/2027
BA-1238837-2022,0256627-DCA,Premises,Active,07/01/2003,07/31/2027
BA-1576217-2023,0257950-DCA,Premises,Active,02/09/1999,03/31/2026
BA-1461941-2022,0292579-DCA,Premises,Active,06/24/2003,07/31/2027
BA-1552165-2022,0297061-DCA,Premises,Active,06/09/2003,07/31/2027
BA-1211680-2022,0365110-DCA,Premises,Active,04/17/1997,03/31/2027
BA-1231828-2022,0365792-DCA,Premises,Active,04/15/1997,03/31/2027
BA-1107514-2022,0366200-DCA,Premises,Active,03/24/1997,03/31/2027
BA-1438111-2022,0367195-DCA,Premises,Active,03/28/1997,03/31/2027
BA-1102161-2022,0367318-DCA,Premises,Active,04/15/1997,03/31/2027
BA-1445951-2022,0367503-DCA,Premises,Active,04/10/1997,03/31/2027
BA-1126404-2022,0367908-DCA,Premises,Active,03/25/1997,03/31/2027
BA-1557493-2022,0367970-DCA,Premises,Active,04/15/1997,03/31/2027
BA-1421741-2022,0368199-DCA,Premises,Active,05/09/1997,03/31/2027
BA-1455070-2022,0368238-DCA,Premises,Active,04/10/1997,03/31/2027
BA-1205745-2022,0368322-DCA,Premises,Active,04/04/1997,03/31/2027
BA-1233358-2022,0368506-DCA,Premises,Active,02/15/1995,03/31/2027
BA-1301798-2022,0368610-DCA,Premises,Active,03/11/1997,03/31/2027
BA-1229197-2022,0369040-DCA,Premises,Active,03/28/1997,03/31/2027
BA-1103533-2022,0369462-DCA,Premises,Active,07/31/2000,03/31/2027
BA-1193725-2022,0369661-DCA,Premises,Active,04/03/1997,03/31/2027
BA-1204267-2022,0369751-DCA,Premises,Active,04/14/1997,03/31/2027
BA-1330321-2022,0369771-DCA,Premises,Active,04/16/1997,03/31/2027
BA-1321065-2022,0369838-DCA,Premises,Active,11/14/2006,03/31/2027
BA-1209719-2022,0390712-DCA,Premises,Active,04/18/2007,04/30/2026
BA-1220951-2022,0392731-DCA,Premises,Active,06/19/2003,07/31/2027
BA-1346280-2022,0414427-DCA,Premises,Active,07/21/2003,07/31/2027
BA-1556667-2022,0419895-DCA,Premises,Active,12/10/2007,07/31/2027
BA-1133107-2022,0420750-DCA,Premises,Active,06/06/2003,07/31/2027
BA-1239895-2022,0427085-DCA,Premises,Active,06/01/1995,03/31/2027
BA-1100999-2022,0427239-DCA,Premises,Active,03/20/1997,03/31/2027
BA-1076953-2022,0427285-DCA,Premises,Active,03/11/1997,03/31/2027
BA-1112179-2022,0427868-DCA,Premises,Active,03/25/1997,03/31/2027
BA-1107903-2022,0429204-DCA,Premises,Active,03/28/1997,03/31/2027
BA-1217821-2022,0429467-DCA,Premises,Active,03/03/1995,03/31/2027
BA-1359360-2022,0429675-DCA,Premises,Active,03/27/1997,03/31/2027
BA-1419088-2022,0429690-DCA,Premises,Active,04/14/1997,03/31/2027
BA-1096313-2022,0429851-DCA,Premises,Active,01/09/1998,03/31/2027
BA-1451669-2022,0430879-DCA,Premises,Active,08/19/2003,07/31/2027
BA-1467661-2022,0437184-DCA,Premises,Active,07/17/2006,06/30/2026
BA-1447234-2022,0446950-DCA,Premises,Active,06/27/2003,07/31/2027
BA-1437823-2022,0449774-DCA,Premises,Active,07/21/2003,07/31/2027
BA-1314552-2022,0457193-DCA,Premises,Active,07/23/2003,07/31/2027
BA-1117975-2022,0469197-DCA,Premises,Active,03/12/1997,03/31/2027
BA-1196655-2022,0469417-DCA,Premises,Active,03/26/1997,03/31/2027
BA-1108232-2022,0469515-DCA,Premises,Active,04/28/1997,03/31/2027
BA-1076948-2022,0469630-DCA,Premises,Active,03/25/1997,03/31/2027
BA-1235962-2022,0469813-DCA,Premises,Active,04/14/1997,03/31/2027
BA-1220472-2022,0469978-DCA,Premises,Active,04/07/1997,03/31/2027
BA-1224659-2022,0472767-DCA,Premises,Active,06/30/1997,06/30/2026
BA-1263002-2022,0490117-DCA,Premises,Active,06/12/2003,07/31/2027
BA-1529091-2022,0491477-DCA,Premises,Active,07/31/2003,07/31/2027
BA-1334185-2022,0494222-DCA,Premises,Active,06/06/2003,07/31/2027
BA-1470848-2022,0494325-DCA,Premises,Active,08/25/2003,07/31/2027
BA-1433904-2022,0497331-DCA,Premises,Active,07/28/1997,07/31/2027
BA-1408598-2022,0498310-DCA,Premises,Active,07/28/2003,07/31/2027
BA-1350569-2022,0499857-DCA,Premises,Active,01/02/1998,07/31/2027
BA-936680-2022,0510892-DCA,Premises,Active,12/31/1900,12/31/2026
BA-1070013-2022,0511665-DCA,Premises,Active,12/31/1900,12/31/2026
BA-1116207-2022,0521211-DCA,Premises,Active,06/23/2003,07/31/2027
BA-1314552-2022,0572702-DCA,Premises,Active,04/09/2008,07/31/2027
BA-1416173-2022,0573716-DCA,Premises,Active,07/25/1995,07/31/2027
BA-1334185-2022,0575920-DCA,Premises,Active,06/06/2003,07/31/2027
BA-1466370-2022,0579959-DCA,Premises,Active,07/02/2003,07/31/2027
BA-1458868-2022,0623238-DCA,Premises,Active,06/20/2003,07/31/2027
BA-1366401-2022,0624070-DCA,Premises,Active,04/01/1996,03/31/2026
BA-1441712-2022,0624499-DCA,Premises,Active,03/28/2000,05/01/2026
BA-1426775-2022,0624602-DCA,Premises,Active,08/01/2003,07/31/2027
BA-1302677-2022,0671640-DCA,Premises,Active,08/26/2003,07/31/2027
BA-1318933-2022,0672097-DCA,Premises,Active,07/28/2003,07/31/2027
BA-1479812-2022,0673029-DCA,Premises,Active,02/10/2003,02/28/2027
BA-1505264-2022,0673077-DCA,Premises,Active,01/09/2003,02/28/2027
BA-1105375-2022,0673525-DCA,Premises,Active,09/06/2005,02/28/2027
BA-1090679-2022,0673645-DCA,Premises,Active,12/30/2002,02/28/2027
BA-1411661-2022,0673685-DCA,Premises,Active,02/12/2003,02/28/2027
