entity_id,registration_id,full_address,zip_code,Latitude,Longitude
BA-1216876-2022,0002902-DCA,608 8TH AVE NEW YORK NY 10018 (Manhattan),10018,40.75561,-73.990962
BA-1322274-2022,0016371-DCA,480 PARK AVENUE NEW YORK NY 10022 (Manhattan),10022,40.76249,-73.970125
BA-1598130-2023,0225766-DCA,350 5TH AVE APT 3012 NEW YORK NY 10118 (Manhattan),10118,40.74828,-73.98469
BA-1301425-2022,0227765-DCA,304 W 38TH ST NEW YORK NY 10018 (Manhattan),10018,40.75492,-73.992146
BA-1735070-2025,0230587-DCA,8825 138TH ST JAMAICA NY 11435 (Queens),11435,40.70345,-73.815964
BA-1162940-2022,0230939-DCA,1927 AVENUE U BROOKLYN NY 11229 (Brooklyn),11229,40.5993,-73.952204
BA-1235307-2022,0255366-DCA,17 E 65TH ST NEW YORK NY 10065 (Manhattan),10065,40.76761,-73.969282
BA-1238837-2022,0256627-DCA,523 50TH AVE LONG ISLAND CITY NY 11101 (Queens),11101,40.74312,-73.956077
BA-1461941-2022,0292579-DCA,3815 30TH ST LONG ISLAND CITY NY 11101 (Queens),11101,40.75392,-73.93301
BA-1552165-2022,0297061-DCA,108 WEST   17 STREET NEW YORK NY 10011 (Manhattan),10011,40.7395,-73.99602
BA-1211680-2022,0365110-DCA,9636 SPRINGFIELD BLVD QUEENS VILLAGE NY 11429 (Queens),11429,40.71805,-73.735341
BA-1231828-2022,0365792-DCA,6861 YELLOWSTONE BOULEVARD FOREST HILLS NY 11375 (Queens),11375,40.72497,-73.84731
BA-1107514-2022,0366200-DCA,165 PACIFIC STREET BROOKLYN NY 11201 (Brooklyn),11201,40.6894,-73.993996
BA-1438111-2022,0367195-DCA,251 EAST   51 STREET MANHATTAN NY 10022 (Manhattan),10022,40.75598,-73.969171
BA-1102161-2022,0367318-DCA,700 PARK AVENUE NEW YORK NY 10021 (Manhattan),10021,40.76935,-73.965115
BA-1445951-2022,0367503-DCA,300 EAST   71 STREET NEW YORK NY 10021 (Manhattan),10021,40.76796,-73.958512
BA-1126404-2022,0367908-DCA,74 HUDSON ST NEW YORK NY 10013 (Manhattan),10013,40.71832,-74.00886
BA-1557493-2022,0367970-DCA,191 E 71ST ST NEW YORK NY 10021 (Manhattan),10021,40.76925,-73.961515
BA-1421741-2022,0368199-DCA,61 EAST END AVENUE NEW YORK NY 10028 (Manhattan),10028,40.77244,-73.946577
BA-1455070-2022,0368238-DCA,65 W 56TH ST NEW YORK NY 10019 (Manhattan),10019,40.76312,-73.976413
BA-1205745-2022,0368322-DCA,777 3 AVENUE NEW YORK NY 10017 (Manhattan),10017,40.75466,-73.971598
BA-1233358-2022,0368506-DCA,333 EAST   14 STREET NEW YORK NY 10003 (Manhattan),10003,40.73172,-73.983424
BA-1301798-2022,0368610-DCA,330 WEST   45 STREET NEW YORK NY 10036 (Manhattan),10036,40.75959,-73.989431
BA-1229197-2022,0369040-DCA,83 NORTH RIVER PIERS NEW YORK NY 10036 (Manhattan),10036,40.76231,-74.00078
BA-1103533-2022,0369462-DCA,980 5 AVENUE NEW YORK NY 10075 (Manhattan),10075,40.77703,-73.963211
BA-1193725-2022,0369661-DCA,81 NORTH RIVER PIERS NEW YORK NY 10036 (Manhattan),10036,40.76176,-74.001473
BA-1204267-2022,0369751-DCA,404 EAST   70 STREET NEW YORK NY 10021 (Manhattan),10021,40.76641,-73.956781
BA-1330321-2022,0369771-DCA,5455 KINGS HIGHWAY BROOKLYN NY 11203 (Brooklyn),11203,40.64243,-73.92536
BA-1321065-2022,0369838-DCA,15820 JEWEL AVENUE FLUSHING NY 11365 (Queens),11365,40.73226,-73.809906
BA-1209719-2022,0390712-DCA,367 E FORDHAM RD BRONX NY 10458 (Bronx),10458,40.86186,-73.892342
BA-1220951-2022,0392731-DCA,84 UNIVERSITY PLACE NEW YORK NY 10003 (Manhattan),10003,40.73353,-73.993141
BA-1346280-2022,0414427-DCA,20 NEPTUNE AVE BROOKLYN NY 11235 (Brooklyn),11235,40.58289,-73.955279
BA-1556667-2022,0419895-DCA,4115 BROADWAY LONG IS CITY NY 11103 (Queens),11103,40.75831,-73.91756
BA-1133107-2022,0420750-DCA,589 5TH AVE APT 709 NEW YORK NY 10017 (Manhattan),10017,40.75704,-73.97778
BA-1239895-2022,0427085-DCA,137 WEST   89 STREET NEW YORK NY 10024 (Manhattan),10024,40.78891,-73.971915
BA-1100999-2022,0427239-DCA,1832 2ND AVE NEW YORK NY 10128 (Manhattan),10128,40.78332,-73.947746
BA-1076953-2022,0427285-DCA,67 WARREN STREET NEW YORK NY 10007 (Manhattan),10007,40.71501,-74.009837
BA-1112179-2022,0427868-DCA,249 10TH AVE NEW YORK NY 10001 (Manhattan),10001,40.74874,-74.003418
BA-1107903-2022,0429204-DCA,4 EAST   76 STREET NEW YORK NY 10021 (Manhattan),10021,40.77486,-73.964736
BA-1217821-2022,0429467-DCA,11 RIVERSIDE DRIVE NEW YORK NY 10023 (Manhattan),10023,40.78106,-73.984517
BA-1359360-2022,0429675-DCA,55 EAST END AVENUE NEW YORK NY 10028 (Manhattan),10028,40.77216,-73.946783
BA-1419088-2022,0429690-DCA,605 EAST   82 STREET NEW YORK NY 10028 (Manhattan),10028,40.77221,-73.946299
BA-1096313-2022,0429851-DCA,24 COLUMBIA STREET NEW YORK NY 10002 (Manhattan),10002,40.71558,-73.981047
BA-1451669-2022,0430879-DCA,447 E 167TH ST BRONX NY 10456 (Bronx),10456,40.8301,-73.908531
BA-1467661-2022,0437184-DCA,4250 BOSTON ROAD BRONX NY 10475 (Bronx),10475,40.88853,-73.822609
BA-1447234-2022,0446950-DCA,34 WEST   47 STREET NEW YORK NY 10036 (Manhattan),10036,40.75717,-73.979808
BA-1437823-2022,0449774-DCA,140 PENNYFIELD AVE BRONX NY 10465 (Bronx),10465,40.81171,-73.80543
BA-1314552-2022,0457193-DCA,5805 KINGSWAY PLACE BROOKLYN NY 11234 (Brooklyn),11234,40.64119,-73.920411
BA-1117975-2022,0469197-DCA,327 WEST   46 STREET NEW YORK NY 10036 (Manhattan),10036,40.7602,-73.988871
BA-1196655-2022,0469417-DCA,2041 BRONXDALE AVENUE BRONX NY 10462 (Bronx),10462,40.85079,-73.866562
BA-1108232-2022,0469515-DCA,12 BEEKMAN PLACE NEW YORK NY 10022 (Manhattan),10022,40.7531,-73.964982
BA-1076948-2022,0469630-DCA,395 BROOME ST NEW YORK NY 10013 (Manhattan),10013,40.72062,-73.997157
BA-1235962-2022,0469813-DCA,135 EAST   71 STREET NEW YORK NY 10021 (Manhattan),10021,40.76994,-73.963165
BA-1220472-2022,0469978-DCA,25 WEST  174 STREET BRONX NY 10453 (Bronx),10453,40.84657,-73.914642
BA-1224659-2022,0472767-DCA,2994 CROPSEY AVE BROOKLYN NY 11214 (Brooklyn),11214,40.58218,-73.986096
BA-1263002-2022,0490117-DCA,1 ROCKEFELLER PLZ APT 2412 NEW YORK NY 10020 (Manhattan),10020,40.7579,-73.979288
BA-1529091-2022,0491477-DCA,495 CITY ISLAND AVE BRONX NY 10464 (Bronx),10464,40.85174,-73.788892
BA-1334185-2022,0494222-DCA,4157 BOSTON RD BRONX NY 10466 (Bronx),10466,40.88675,-73.825905
BA-1470848-2022,0494325-DCA,4260 BOSTON RD BRONX NY 10475 (Bronx),10475,40.88867,-73.822366
